gene_name,gene_id,n_snps,best_p,min_dist
nompB,FBgn0016919,1,1.2376057263384193e-05,911
CG31109,FBgn0051109,1,1.2404924421667619e-05,0
XLOC_004556,XLOC_004556,1,1.2648316374448793e-05,0
CG34384,FBgn0085413,1,1.2648316374448793e-05,0
CR43304,FBgn0262996,1,1.3504311883632157e-05,0
CG3528,FBgn0031430,1,1.4048053451900177e-05,1088
Hrd3,FBgn0028475,1,1.4318940067668538e-05,0
CG14147,FBgn0036112,1,1.4457577521157975e-05,420
Gr57a,FBgn0041240,1,1.4817796286630735e-05,476
PH4alphaMP,FBgn0026190,1,1.4968020911387938e-05,0
Hex-t2,FBgn0042710,2,1.4996042980398061e-05,63
Dr,FBgn0000492,1,1.5107374723309832e-05,1684
mol,FBgn0086711,2,1.5402037666502183e-05,0
CG4525,FBgn0038358,1,1.5489237569301495e-05,0
CG6465,FBgn0037818,1,1.60510608966086e-05,729
CG7115,FBgn0027515,1,1.632426072204078e-05,0
CG13321,FBgn0033787,1,1.6456956276327414e-05,3593
