gene_id,gene_name,r,p,fdr
FBgn0028573,prc,0.247,0.0005516707513395991,0.1147
FBgn0040212,Dhap-at,0.247,0.000551779609792955,0.1147
FBgn0083167,Neb-cGP,0.246,0.000568306448241344,0.117
FBgn0039830,CG1746,0.246,0.0005881805696854855,0.118
FBgn0050287,CG30287,0.246,0.0005933199810107685,0.118
FBgn0037643,skap,0.246,0.0005961248146473256,0.118
FBgn0033465,Etf-QO,0.246,0.0005963522546296689,0.118
XLOC_009101,XLOC_009101,0.245,0.0006123980181690419,0.12
FBgn0034245,CG14482,0.244,0.0006349500134996674,0.1217
FBgn0036615,CG4933,0.244,0.0006491492059124358,0.1217
FBgn0052713,CG32713,-0.244,0.0006534040076249725,0.1217
FBgn0033215,CG1942,0.244,0.0006553534182412957,0.1217
FBgn0265068,CR44179,0.244,0.0006617433075614945,0.1217
FBgn0266582,FBgn0266582,0.243,0.000671557836206014,0.1217
FBgn0052649,CG32649,0.243,0.0006742914008519743,0.1217
FBgn0261058,Sfp38D,-0.243,0.0006743110696091663,0.1217
FBgn0266835,FBgn0266835,0.243,0.0006788927325483318,0.1217
FBgn0267069,FBgn0267069,-0.243,0.0006809131224369321,0.1217
FBgn0028342,l(1)G0230,0.242,0.0007282962485558838,0.1267
FBgn0013763,CG5210,0.242,0.000729896032930016,0.1267
FBgn0019624,CoVa,0.242,0.0007300220860423413,0.1267
FBgn0265667,FBgn0265667,-0.242,0.0007337912328345429,0.1267
FBgn0041094,scyl,-0.241,0.0007675933889973644,0.1304
FBgn0040931,CG9034,0.241,0.000767774027618611,0.1304
FBgn0030562,CG9400,0.241,0.0007783473007831055,0.1311
XLOC_027490,XLOC_027490,0.24,0.0007956159440538782,0.1329
FBgn0263601,mib1,0.24,0.0008102079493498595,0.1342
FBgn0034877,levy,0.239,0.0008369637920755562,0.1366
FBgn0034718,wdp,-0.239,0.0008396117430412801,0.1366
XLOC_017550,XLOC_017550,-0.239,0.0008449914430308584,0.1366
FBgn0036862,Gbs-76A,0.238,0.0008768391794320311,0.1395
