gene_id,gene_name,r,p,fdr
XLOC_011602,XLOC_011602,-0.223,0.0025870544176625613,0.3738
FBgn0036510,CG7427,0.223,0.0025875043516591506,0.3738
XLOC_006065,XLOC_006065,-0.223,0.002625151593932472,0.3738
FBgn0033480,mRpL42,0.223,0.0026413618716331724,0.3738
FBgn0038319,mRpL9,0.223,0.002642112583572016,0.3738
XLOC_015409,XLOC_015409,-0.222,0.002682770066287872,0.377
XLOC_021657,XLOC_021657,-0.222,0.002717002141883263,0.3792
XLOC_011010,XLOC_011010,-0.222,0.0027453315262035197,0.3801
FBgn0026061,Mipp1,0.222,0.002805095559089971,0.3801
XLOC_019301,XLOC_019301,-0.221,0.0028104266284145725,0.3801
XLOC_026403,XLOC_026403,-0.221,0.0028256055286695076,0.3801
FBgn0031935,CG13793,0.221,0.002835546725126144,0.3801
XLOC_008065,XLOC_008065,-0.221,0.0028355917499554226,0.3801
XLOC_023520,XLOC_023520,-0.221,0.0028853352814096744,0.3824
XLOC_026571,XLOC_026571,-0.221,0.0028904978350649687,0.3824
FBgn0029718,mRpL30,0.221,0.002921101251078647,0.3834
FBgn0031074,skpE,0.221,0.00293531596770417,0.3834
FBgn0036656,CG13026,0.22,0.002964314893916283,0.3841
XLOC_004493,XLOC_004493,-0.22,0.002984294147617326,0.3841
FBgn0029147,NtR,0.22,0.0030159166698676965,0.3841
XLOC_026398,XLOC_026398,-0.22,0.00301656942130709,0.3841
XLOC_031668,XLOC_031668,-0.22,0.003044043217276867,0.3852
XLOC_006050,XLOC_006050,-0.219,0.0031675928117042233,0.3909
FBgn0014391,sun,0.219,0.003172401563441663,0.3909
FBgn0267562,FBgn0267562,-0.219,0.0031753104633216594,0.3909
FBgn0266897,FBgn0266897,-0.219,0.0031775311886834295,0.3909
FBgn0039581,Moca-cyp,0.219,0.0031937278075224035,0.3909
FBgn0052383,sphinx1,-0.219,0.003204012851489439,0.3909
FBgn0267266,FBgn0267266,-0.218,0.0032892288151682263,0.3967
XLOC_015429,XLOC_015429,-0.218,0.0032903467709415376,0.3967
XLOC_019586,XLOC_019586,-0.218,0.0033368996213371796,0.3969
XLOC_011608,XLOC_011608,-0.217,0.0033681809229266315,0.3969
XLOC_027929,XLOC_027929,0.217,0.0033693214042547475,0.3969
FBgn0036063,CG6674,0.217,0.003407324086570647,0.3969
FBgn0038238,CG14854,-0.217,0.0034332442704709436,0.3969
XLOC_000730,XLOC_000730,-0.217,0.003443073397387597,0.3969
XLOC_021033,XLOC_021033,-0.217,0.0034446460287361736,0.3969
XLOC_010603,XLOC_010603,-0.217,0.0034487292225714944,0.3969
XLOC_026575,XLOC_026575,-0.217,0.0034676969688686487,0.3969
FBgn0031660,mRpL28,0.217,0.0034871133221136236,0.3969
FBgn0085339,CG34310,0.216,0.0035208367209222783,0.3972
XLOC_031447,XLOC_031447,0.216,0.0035460551458697032,0.3972
FBgn0039269,veli,0.216,0.0035539049563248853,0.3972
FBgn0003961,Uro,-0.216,0.003610388522749506,0.3972
FBgn0016031,lama,-0.216,0.0036314889106528235,0.3972
FBgn0037892,mRpL40,0.216,0.0036515441322293837,0.3972
FBgn0016762,angel,0.216,0.003666551720027076,0.3972
XLOC_028464,XLOC_028464,0.215,0.0036901860884720073,0.3972
XLOC_011597,XLOC_011597,-0.215,0.003702203879996753,0.3972
XLOC_006570,XLOC_006570,-0.215,0.003732701296970876,0.3972
FBgn0011674,insc,-0.215,0.003735230812446184,0.3972
FBgn0051648,CG31648,0.215,0.003742624540864112,0.3972
XLOC_025587,XLOC_025587,-0.215,0.003750534989210077,0.3972
FBgn0260632,dl,-0.215,0.003762494457768786,0.3972
XLOC_022599,XLOC_022599,-0.215,0.003827577030251874,0.4016
FBgn0039635,CG11876,0.214,0.003877965532055153,0.4016
FBgn0053807,His1:CG33807,-0.214,0.0038781858695573677,0.4016
FBgn0086710,RpL30,0.214,0.003882656786022029,0.4016
FBgn0261990,CG42808,0.214,0.0039662879643624594,0.4053
FBgn0043364,cbt,0.214,0.003975567993095547,0.4053
XLOC_026938,XLOC_026938,-0.213,0.004006674440923799,0.4053
