gene_name,gene_id,n_snps,best_p,min_dist
CG34109,FBgn0083945,1,3.202890589499657e-05,0
Lpt,FBgn0263667,1,3.229066223122096e-05,0
Pkn,FBgn0020621,1,3.237739075461208e-05,0
CG33110,FBgn0053110,1,3.291631918957707e-05,0
CR44274,FBgn0265301,1,3.342361174531094e-05,0
CG1339,FBgn0033202,1,3.380345427150906e-05,77
CG18769,FBgn0042185,3,3.396580989804788e-05,0
jv,FBgn0263973,3,3.396580989804788e-05,0
CG8746,FBgn0033330,1,3.447103654779821e-05,1944
CG1443,FBgn0039620,1,3.454729681596974e-05,1168
egl,FBgn0000562,1,3.531919021619199e-05,0
Dll,FBgn0000157,1,3.5732272163621775e-05,0
CG17570,FBgn0260000,1,3.618221862794279e-05,466
Aats-met,FBgn0027083,1,3.696752529446783e-05,304
orb,FBgn0004882,1,3.710050447333477e-05,0
CR43303,FBgn0262995,1,3.762092689794968e-05,0
CG8248,FBgn0033347,1,3.784858699670202e-05,0
XLOC_003920,XLOC_003920,1,3.868210105845911e-05,0
CG42663,FBgn0261545,1,3.902016185342105e-05,0
CG17364,FBgn0036391,1,3.9390899428920605e-05,0
CG30184,FBgn0050184,1,3.9416704634727455e-05,0
prd,FBgn0003145,1,3.946833581104956e-05,1636
Esp,FBgn0013953,1,3.9566421241575144e-05,0
CG31013,FBgn0051013,1,3.962572169527129e-05,0
CcapR,FBgn0039396,1,4.1258117300632725e-05,0
wdn,FBgn0005642,1,4.176712903481047e-05,10
stan,FBgn0024836,1,4.179726139536469e-05,0
XLOC_004330,XLOC_004330,1,4.182001808307205e-05,1296
CG14010,FBgn0031725,1,4.194550117110896e-05,1081
