gene_id,gene_name,r,p,fdr
FBgn0034496,CG9143,-0.218,0.003255315677818084,0.5211
FBgn0036731,CG6333,0.218,0.0032667352270254503,0.5211
FBgn0261556,CG42674,-0.218,0.0032791641553408034,0.5211
FBgn0019932,SamDC,-0.218,0.003350936129567718,0.5253
FBgn0032136,Apoltp,-0.217,0.003375181624192898,0.5253
XLOC_026226,XLOC_026226,-0.217,0.0034055626204644064,0.5253
XLOC_031749,XLOC_031749,-0.217,0.003464627630332147,0.5281
XLOC_031875,XLOC_031875,-0.217,0.0034908106419406066,0.5281
XLOC_020470,XLOC_020470,0.216,0.0036202106300501765,0.5388
FBgn0038680,Cyp12a5,0.216,0.003633185145697927,0.5388
XLOC_009255,XLOC_009255,0.215,0.0037012894954757776,0.5388
FBgn0267767,FBgn0267767,0.215,0.0037257127238008838,0.5388
FBgn0041161,blue,-0.215,0.0037598340656120693,0.5388
FBgn0250848,26-29-p,-0.215,0.003809357050700764,0.5388
FBgn0043791,CG8147,0.215,0.003811055833435275,0.5388
XLOC_005663,XLOC_005663,-0.214,0.0038358902384017985,0.5388
FBgn0031589,CG3714,-0.214,0.0039034081634663938,0.5434
FBgn0035711,CG8519,0.214,0.003945597645426029,0.5445
FBgn0259985,Mppe,0.213,0.0040366845328308155,0.5522
XLOC_025586,XLOC_025586,-0.213,0.004150944564945554,0.556
FBgn0020277,lush,0.213,0.004162099727015131,0.556
FBgn0011225,jar,-0.213,0.004172244710197607,0.556
XLOC_028121,XLOC_028121,0.212,0.004235996130138652,0.556
XLOC_025319,XLOC_025319,-0.212,0.004267790271315219,0.556
XLOC_023513,XLOC_023513,-0.212,0.00427658761772339,0.556
FBgn0261808,cu,0.212,0.004340395713547116,0.5597
FBgn0040099,lectin-28C,0.211,0.004394062626833732,0.562
XLOC_026564,XLOC_026564,-0.211,0.004555616115484902,0.578
FBgn0034407,DptB,-0.21,0.004616145870419259,0.5797
FBgn0036870,CG14095,0.21,0.004643122263599643,0.5797
XLOC_028742,XLOC_028742,0.21,0.00471171599489076,0.5837
XLOC_015613,XLOC_015613,-0.209,0.004793587837415779,0.585
FBgn0039156,CG6178,-0.209,0.004796647429477742,0.585
FBgn0032715,CG17597,-0.209,0.004839350525616845,0.5856
XLOC_030655,XLOC_030655,0.209,0.004942808416038217,0.5924
XLOC_024994,XLOC_024994,-0.209,0.004970927469062151,0.5924
XLOC_011853,XLOC_011853,-0.208,0.005100167022478403,0.6033
FBgn0052405,Cpr65Av,0.207,0.0052027059763805495,0.6059
FBgn0032679,bsf,-0.207,0.00522468152311421,0.6059
FBgn0039024,CG4721,-0.207,0.005237581950330264,0.6059
XLOC_022155,XLOC_022155,-0.207,0.005299623843411823,0.6086
FBgn0011300,babo,-0.206,0.005420310559147922,0.6179
FBgn0003048,pcx,-0.206,0.005535974100596766,0.62
XLOC_031672,XLOC_031672,-0.206,0.005575204347092091,0.62
FBgn0001218,Hsc70-3,-0.206,0.005594792455618821,0.62
FBgn0051259,CG31259,-0.206,0.005596512765246151,0.62
XLOC_006340,XLOC_006340,0.206,0.005640251652110281,0.6205
FBgn0030617,CG9095,0.205,0.005723750994412002,0.6208
FBgn0039312,CG10514,0.205,0.005791710562154487,0.6208
FBgn0000319,Chc,-0.205,0.0058017755429409425,0.6208
FBgn0261885,osa,-0.205,0.005873872540042038,0.6208
FBgn0263216,CG43386,0.204,0.005970412331165703,0.6208
FBgn0026749,Yippee,0.204,0.0059708234190469335,0.6208
FBgn0036598,CG4982,0.204,0.00599458690795227,0.6208
FBgn0034664,CG4377,0.204,0.006081077561396638,0.6208
XLOC_030418,XLOC_030418,-0.203,0.006195057667889732,0.6208
FBgn0036940,obst-J,0.203,0.006197791727193063,0.6208
FBgn0043364,cbt,0.203,0.006215989690592954,0.6208
FBgn0020306,dom,-0.203,0.006251955270637938,0.6208
FBgn0003175,px,-0.203,0.0062673085722329625,0.6208
FBgn0025687,LKR,-0.203,0.006275991011686189,0.6208
FBgn0024183,vig,-0.203,0.006278579986864036,0.6208
FBgn0040069,vanin-like,-0.203,0.006320243457226382,0.6208
FBgn0032785,CG10026,0.203,0.00635874266409817,0.6208
FBgn0026259,eIF5B,-0.202,0.006491821858692472,0.6208
FBgn0039214,CG5794,-0.202,0.00652114010435272,0.6208
FBgn0002774,mle,-0.202,0.0065286280283852445,0.6208
XLOC_010603,XLOC_010603,-0.202,0.006595166931271756,0.6208
FBgn0039562,Gp93,-0.202,0.0066696160669098194,0.6208
XLOC_024267,XLOC_024267,-0.201,0.006694747662014913,0.6208
FBgn0035287,CG13937,0.201,0.0067070337604834985,0.6208
XLOC_025322,XLOC_025322,-0.201,0.006736121518559705,0.6208
XLOC_011031,XLOC_011031,-0.201,0.00676953854018917,0.6208
XLOC_010460,XLOC_010460,-0.201,0.006794777436720408,0.6208
FBgn0030340,CG15740,0.201,0.006824938490322868,0.6208
XLOC_015610,XLOC_015610,-0.201,0.006843487153384378,0.6208
FBgn0000504,dsx,-0.201,0.0068682003817332376,0.6208
FBgn0051776,CG31776,0.201,0.006869143797997729,0.6208
XLOC_010711,XLOC_010711,-0.201,0.0069280584056013025,0.6208
FBgn0035121,Tudor-SN,-0.201,0.006944992208368661,0.6208
FBgn0011982,tRNA:S7:12Ed,-0.2,0.0070253143045864086,0.6218
FBgn0034490,CG9864,-0.2,0.007034823696849585,0.6218
XLOC_032062,XLOC_032062,-0.2,0.007102436622329297,0.6242
FBgn0085423,CG34394,-0.2,0.007216217993212467,0.6307
FBgn0031517,CG15406,0.199,0.007283246714352404,0.6312
FBgn0033482,CG1371,-0.199,0.00730199848723068,0.6312
FBgn0050413,CG30413,0.199,0.007375215187487939,0.634
FBgn0027088,Aats-gly,-0.199,0.007462248048652053,0.6355
XLOC_008065,XLOC_008065,-0.199,0.007499824575143012,0.6355
FBgn0002937,ninaB,0.199,0.007513274396039097,0.6355
XLOC_023192,XLOC_023192,0.198,0.007585023170366917,0.6374
FBgn0033926,Arc1,-0.198,0.007617322999133897,0.6374
FBgn0039290,CG13654,-0.198,0.007674819595492306,0.6388
FBgn0031459,CG2862,-0.198,0.007721356069412302,0.6389
FBgn0035626,lin-28,0.198,0.007769859874089502,0.6389
FBgn0261710,nocte,-0.198,0.0077973192476980665,0.6389
FBgn0085411,CG34382,0.197,0.007899481910742353,0.6439
FBgn0013751,Awh,0.197,0.007944937094169447,0.6443
FBgn0033826,CG4734,0.197,0.007990756755559414,0.6447
FBgn0038073,CG14395,0.197,0.008114343820777569,0.6513
FBgn0039041,CG13838,0.196,0.008282608938787284,0.6614
FBgn0037228,CG1092,0.196,0.008350410486774013,0.6635
FBgn0035383,CG2107,-0.195,0.008561401523140036,0.6697
XLOC_026905,XLOC_026905,0.195,0.008608573719081516,0.6697
