gene_id,gene_name,r,p,fdr
FBgn0032472,CG9928,-0.215,0.006030484389668161,0.9301
XLOC_008960,XLOC_008960,0.214,0.006255702318106841,0.9452
FBgn0040262,Ugt36Ba,-0.214,0.006272432543565633,0.9452
XLOC_001527,XLOC_001527,0.213,0.006472676435287806,0.9452
FBgn0035901,CG6745,0.213,0.006547264573141385,0.9452
FBgn0260474,CG30002,-0.212,0.006822441052735235,0.9452
XLOC_012392,XLOC_012392,0.211,0.006983200710694595,0.9452
FBgn0025827,CG6421,0.211,0.0070589513566946295,0.9452
FBgn0030724,Nipsnap,-0.211,0.007081801758585352,0.9452
FBgn0038299,Spn88Eb,-0.21,0.007178296562182212,0.9452
XLOC_006231,XLOC_006231,0.21,0.007262475507372821,0.9452
FBgn0034258,eIF3-S8,0.21,0.007345352442813752,0.9452
FBgn0034247,CG6484,-0.21,0.007407916036044894,0.9452
FBgn0265577,FBgn0265577,-0.209,0.007478448708533606,0.9452
XLOC_017238,XLOC_017238,0.209,0.007494985549877929,0.9452
FBgn0039215,CG6695,0.209,0.007558400448801717,0.9452
FBgn0003257,r-l,0.209,0.0075698032468450764,0.9452
FBgn0031313,CG5080,-0.209,0.00757648299394494,0.9452
FBgn0035978,UGP,-0.209,0.007703189072891018,0.9452
FBgn0040600,CG13631,-0.209,0.007706425712296562,0.9452
FBgn0031952,cdc14,0.208,0.007803641215165752,0.9452
FBgn0031855,CG11221,-0.208,0.007835166372647882,0.9452
FBgn0052672,Atg8a,-0.208,0.007993984174021184,0.9452
XLOC_028384,XLOC_028384,0.208,0.00802217393917465,0.9452
FBgn0266577,FBgn0266577,0.207,0.008080466187015975,0.9452
FBgn0032810,CG13077,-0.207,0.008110607128796892,0.9452
FBgn0001124,Got1,-0.207,0.008194159411434764,0.9452
FBgn0034331,CG15067,-0.207,0.008197545581503755,0.9452
FBgn0031248,CG11912,0.207,0.00828706873889562,0.9452
XLOC_020878,XLOC_020878,0.207,0.00835295032922412,0.9452
FBgn0052698,CG32698,0.207,0.008357198349525053,0.9452
FBgn0262838,CG43202,-0.207,0.008373350450462272,0.9452
XLOC_011391,XLOC_011391,0.206,0.00842691285005435,0.9452
XLOC_012127,XLOC_012127,-0.206,0.008430858231530277,0.9452
FBgn0263083,CG43351,-0.206,0.008453720369910257,0.9452
XLOC_014184,XLOC_014184,0.206,0.008498782065402562,0.9452
FBgn0001137,grk,0.206,0.008525986652034637,0.9452
FBgn0001258,ImpL3,-0.206,0.008529951221368789,0.9452
FBgn0051015,PH4alphaPV,0.206,0.008610487269931185,0.9452
FBgn0032834,CG13965,-0.205,0.00884682847494379,0.9452
FBgn0036656,CG13026,-0.205,0.008930666863472554,0.9452
FBgn0264395,CG43843,0.205,0.00904151872348365,0.9452
FBgn0028526,CG15293,-0.204,0.009065755208577903,0.9452
FBgn0063495,GstE5,0.204,0.009096624896671915,0.9452
FBgn0260653,serp,-0.204,0.009121296955228514,0.9452
XLOC_005793,XLOC_005793,0.204,0.009158308971935971,0.9452
