gene_id,gene_name,r,p,fdr
XLOC_012286,XLOC_012286,0.211,0.0032737950011363184,0.5365
XLOC_010577,XLOC_010577,-0.21,0.0033875590425235893,0.5473
FBgn0020762,Atet,0.21,0.0034485084855818957,0.5473
FBgn0053493,CG33493,0.21,0.0034881495167507753,0.5473
XLOC_032583,XLOC_032583,0.209,0.003627170534481337,0.5473
XLOC_028013,XLOC_028013,-0.209,0.0036286309078684548,0.5473
FBgn0037530,CG2943,-0.209,0.003640243821573745,0.5473
FBgn0044046,Ilp7,0.209,0.0036632980203650583,0.5473
FBgn0036381,CG8745,0.209,0.0037017447054588383,0.5473
FBgn0038858,CG5793,-0.208,0.0037151813733691448,0.5473
XLOC_019247,XLOC_019247,0.208,0.003719405929851202,0.5473
FBgn0050381,CG30381,-0.208,0.0037585436316437274,0.5473
XLOC_005782,XLOC_005782,-0.208,0.0037619978300213286,0.5473
XLOC_031947,XLOC_031947,0.208,0.00380342686876194,0.5473
FBgn0025687,LKR,-0.208,0.003826899652531912,0.5473
XLOC_018086,XLOC_018086,0.207,0.003899661755747099,0.5527
XLOC_022482,XLOC_022482,0.207,0.003984028388325946,0.5576
FBgn0050015,CG30015,0.206,0.00406237638921906,0.5576
XLOC_003580,XLOC_003580,0.206,0.004086570734302567,0.5576
FBgn0038576,Arp5,-0.206,0.004106529876417691,0.5576
FBgn0036945,Ssk,0.206,0.0041207009844085535,0.5576
FBgn0085488,CG34459,0.206,0.0041655938270841325,0.5576
FBgn0050395,CG30395,-0.206,0.004182353952897605,0.5576
FBgn0003308,ry,-0.205,0.004248507731538108,0.5617
FBgn0259111,Ndae1,0.205,0.0043219436211284325,0.5666
FBgn0013272,Gp150,0.205,0.004381970144518688,0.5697
XLOC_028510,XLOC_028510,0.204,0.004451792000192794,0.5741
XLOC_027680,XLOC_027680,0.204,0.00452896593786777,0.5793
FBgn0051201,GluRIIE,0.204,0.0045734982619624175,0.5802
FBgn0000559,Ef2b,0.204,0.004631142721636526,0.5829
FBgn0259936,Uhg3,0.203,0.004808552171332151,0.5876
FBgn0033188,CG1600,0.202,0.004875182121474518,0.5876
FBgn0041629,Hexo2,0.202,0.004878827979950626,0.5876
FBgn0267923,FBgn0267923,-0.202,0.004951206681288954,0.5876
FBgn0266633,FBgn0266633,0.202,0.004971102231459337,0.5876
FBgn0262003,CG42821,0.202,0.00500862458437172,0.5876
FBgn0036576,CG5151,0.202,0.005018951201436096,0.5876
FBgn0011586,e(r),-0.202,0.0050277143458423235,0.5876
FBgn0265592,FBgn0265592,-0.202,0.005039402173182317,0.5876
XLOC_008599,XLOC_008599,0.201,0.0050720190137930315,0.5876
FBgn0261592,RpS6,0.201,0.005079722230173689,0.5876
FBgn0261859,CG42788,0.201,0.0051672064931259695,0.5934
FBgn0041094,scyl,-0.2,0.005332529830832036,0.6079
XLOC_023662,XLOC_023662,0.2,0.0054638370341135965,0.6119
FBgn0040778,CG17977,-0.2,0.005468185481882519,0.6119
FBgn0037443,CG1021,0.2,0.005520136168803621,0.6119
XLOC_011922,XLOC_011922,0.2,0.005522783437508241,0.6119
FBgn0050502,fa2h,0.199,0.005596554745935368,0.6157
XLOC_017548,XLOC_017548,-0.199,0.005652952786349987,0.6165
FBgn0039430,CG5455,0.199,0.0056822538248742244,0.6165
XLOC_019128,XLOC_019128,0.198,0.005813070690938721,0.6264
FBgn0039030,CG6660,-0.198,0.005870957501680647,0.627
FBgn0043364,cbt,0.198,0.005898740144866276,0.627
FBgn0037070,CG11309,0.198,0.006009436150796261,0.6284
FBgn0024740,Lip2,-0.197,0.006109069052947179,0.6284
XLOC_009577,XLOC_009577,-0.197,0.006143781890506745,0.6284
FBgn0036040,CG6749,0.197,0.0061645040300558895,0.6284
XLOC_011658,XLOC_011658,0.197,0.00623387568541127,0.6284
XLOC_019525,XLOC_019525,-0.197,0.006290105735903291,0.6284
FBgn0036262,CG6910,-0.196,0.00630217718811674,0.6284
XLOC_011948,XLOC_011948,0.196,0.006313960194876095,0.6284
FBgn0038516,CG5840,0.196,0.006368121894958856,0.6284
FBgn0005612,Sox14,0.196,0.006389887124974898,0.6284
XLOC_017686,XLOC_017686,-0.196,0.006416647253718248,0.6284
FBgn0263481,snoRNA:lola-b,-0.196,0.006423500001938913,0.6284
XLOC_028051,XLOC_028051,0.196,0.006430994289511949,0.6284
FBgn0038009,CG17738,-0.196,0.00649843251936991,0.6311
FBgn0022160,Gpo-1,0.195,0.006606223469822954,0.6376
FBgn0003867,tsl,0.195,0.006713938522723779,0.644
FBgn0034694,CG6613,-0.195,0.006778054870766095,0.6443
FBgn0035642,CG18586,-0.195,0.006830026062796507,0.6443
FBgn0037727,CG8358,0.195,0.006839301782773696,0.6443
FBgn0033092,CG9422,-0.194,0.006882881849062062,0.6445
FBgn0032669,CG15155,0.194,0.007083748146097356,0.6544
XLOC_002913,XLOC_002913,-0.194,0.007131477583184811,0.6544
XLOC_028383,XLOC_028383,0.193,0.007261804690808604,0.6544
FBgn0030425,CG3775,0.193,0.007352357585619614,0.6544
XLOC_030704,XLOC_030704,-0.193,0.007389622252638784,0.6544
FBgn0050424,CG30424,0.193,0.007443810960467545,0.6544
FBgn0000442,Pkg21D,0.193,0.007470926702865944,0.6544
FBgn0031907,CG5171,0.192,0.007509075155803007,0.6544
XLOC_009250,XLOC_009250,0.192,0.007533062336988231,0.6544
XLOC_011870,XLOC_011870,0.192,0.007553338129238804,0.6544
FBgn0264553,CR43932,-0.192,0.007563967463110138,0.6544
FBgn0262738,norpA,-0.192,0.007616410696565334,0.6544
FBgn0030629,CG9123,-0.192,0.007630692583050751,0.6544
FBgn0259238,CG42336,-0.192,0.007776076301215438,0.6544
XLOC_007272,XLOC_007272,-0.191,0.0077945227912918445,0.6544
FBgn0015558,tty,0.191,0.007810651468512347,0.6544
FBgn0040582,CG5791,-0.191,0.007815050298200326,0.6544
FBgn0029769,CG3239,0.191,0.00784176067745795,0.6544
FBgn0037726,CG9492,0.191,0.007967503863175995,0.6544
XLOC_011904,XLOC_011904,0.191,0.008006725101089487,0.6544
FBgn0262995,CR43303,-0.191,0.00802126771568946,0.6544
FBgn0037090,Est-Q,0.191,0.008053357848425443,0.6544
FBgn0050156,CG30156,0.191,0.00809113383628736,0.6544
XLOC_009075,XLOC_009075,0.191,0.008104719166876044,0.6544
FBgn0038575,CG7208,-0.19,0.008141389442225335,0.6544
FBgn0050418,nord,0.19,0.00815554968134489,0.6544
XLOC_006485,XLOC_006485,0.19,0.008180565307807867,0.6544
FBgn0266685,FBgn0266685,0.19,0.008200459852523462,0.6544
FBgn0034618,CG9485,0.19,0.008284860217606936,0.6544
XLOC_020840,XLOC_020840,0.19,0.008351939321602586,0.6544
FBgn0040636,CG13255,0.19,0.008381346239366339,0.6544
XLOC_008925,XLOC_008925,0.189,0.00848961149721883,0.6544
